Trial.ID Target.ID Lexicality MorphType Target Prime primeType logfreq.Zipf.t lent lenp logfreq.Zipf.p Nt Np
11145 145 WORD OR sala frangia ctrl 4.831006961 4 7 2.808971327 40 6
11146 146 WORD OR scia staffa ctrl 3.508986565 4 6 2.682284924 24 3
11147 147 WORD OR spia orologio ctrl 4.444261235 4 8 4.495736773 24 3
11148 148 WORD OR spina litigio ctrl 4.028195933 5 7 3.680178398 19 4
11149 149 WORD OR tribu' lattice ctrl 2 5 7 2.993696955 1 7
11150 150 WORD OR vela olezzo ctrl 3.545991436 4 6 2.232315915 34 3
12151 151 NONWORD NA doso doloso rel NA 4 6 3.266470191 34 5
12152 152 NONWORD NA fela finale rel NA 4 6 4.516233602 36 10
12153 153 NONWORD NA fuli fucile rel NA 4 6 4.445108639 29 12
12154 154 NONWORD NA mato malato rel NA 4 6 4.532258815 44 15
12155 155 NONWORD NA nale nasale rel NA 4 6 3.130442483 33 8
12156 156 NONWORD NA seso setoso rel NA 4 6 1.588863239 29 5
22157 157 NONWORD NA teno ottone ctrl NA 4 6 3.236246209 41 5
22158 158 NONWORD NA safo venoso ctrl NA 4 6 2.543105748 22 4
12159 159 NONWORD NA nele neurale rel NA 4 7 3.361184945 26 2
12160 160 NONWORD NA pana paniere rel NA 4 7 2.469676831 48 7
22161 161 NONWORD NA pammo amoroso ctrl NA 5 7 3.104737082 9 3
22162 162 NONWORD NA lare ferrata ctrl NA 4 7 2.458094958 34 6
22163 163 NONWORD NA lure settore ctrl NA 4 7 4.265373949 26 10
12164 164 NONWORD NA faci fatidico rel NA 4 8 2.614169104 29 2
12165 165 NONWORD NA mada marinara rel NA 4 8 2.571134472 43 6
12166 166 NONWORD NA turme turbante rel NA 5 8 2.898493 8 2
22167 167 NONWORD NA fepo ghiandola ctrl NA 4 9 2.947 11 1
12168 168 NONWORD NA alteo altezza rel NA 5 7 4.458446946 13 2
12169 169 NONWORD NA copoi copioso rel NA 5 7 2.120342156 3 3
12170 170 NONWORD NA curpe cursore rel NA 5 7 2.03602127 5 0
12171 171 NONWORD NA dorse dorsale rel NA 5 7 3.680178398 24 2
12172 172 NONWORD NA logne longevo rel NA 5 7 1.668044485 10 3
12173 173 NONWORD NA oneso oneroso rel NA 5 7 2.03602127 6 5
22174 174 NONWORD NA sfase animato ctrl NA 5 7 3.226352968 4 5
22175 175 NONWORD NA girto cortile ctrl NA 5 7 4.042181579 9 6
22176 176 NONWORD NA ricre liquame ctrl NA 5 7 2.352291232 2 1
22177 177 NONWORD NA tinbe malanno ctrl NA 5 7 2.64576809 6 3
22178 178 NONWORD NA fisma pallore ctrl NA 5 7 2.421372151 8 3
22179 179 NONWORD NA stefo quotato ctrl NA 5 7 2.367014489 8 7
22180 180 NONWORD NA piame usabile ctrl NA 5 7 1.491953226 8 0
12181 181 NONWORD NA marma marinaio rel NA 5 8 3.836836505 25 5
22182 182 NONWORD NA sasta dolomiti ctrl NA 5 8 2 22 2
22183 183 NONWORD NA salfo esaltato ctrl NA 5 8 2.872164467 13 5
12184 184 NONWORD NA obbro obbrobrio rel NA 5 9 2.304866582 2 0
22185 185 NONWORD NA gelpi cifratura ctrl NA 5 9 2.352291232 2 1
12186 186 NONWORD NA cartra cartella rel NA 6 8 3.998458258 2 8
12187 187 NONWORD NA geteni genetico rel NA 6 8 3.580089314 0 3
12188 188 NONWORD NA segete sergente rel NA 6 8 4.774292 6 6
12189 189 NONWORD NA pafoci pacifico rel NA 6 8 1.734991274 0 4
22190 190 NONWORD NA birgio livoroso ctrl NA 6 8 1.190923 1 0
22191 191 NONWORD NA prisso urlatore ctrl NA 6 8 2.03602127 3 0
22192 192 NONWORD NA ghiade damigiana ctrl NA 6 9 2.03602127 0 1
12193 193 NONWORD NA beggio beveraggio rel NA 6 10 1.668044485 9 0
22194 194 NONWORD NA tatoli piccionaia ctrl NA 6 10 2.03602127 5 1
22195 195 NONWORD NA mepitro evenienza ctrl NA 7 9 3.020227003 0 2
22196 196 NONWORD NA gibupre veneziana ctrl NA 7 9 2.270104476 0 4
12197 197 NONWORD NA disinti disincanto rel NA 7 10 1.588863239 1 0
22198 198 NONWORD NA nurteli pediatrico ctrl NA 7 10 2.942971678 0 2
22199 199 NONWORD NA tracelgi cannoniere ctrl NA 8 10 2.421372151 0 3
22200 200 NONWORD NA fommicri sproposito ctrl NA 8 10 2.792983221 0 2
22201 201 NONWORD NA vei sutura ctrl NA 3 6 3.304866582 54 7
12202 202 NONWORD NA seto setto rel NA 4 5 2.781987837 39 33
12203 203 NONWORD NA tala taiga rel NA 4 5 2.367014489 37 10
22204 204 NONWORD NA ruca eunuco ctrl NA 4 6 2.972678605 24 0
22205 205 NONWORD NA guio piatto ctrl NA 4 6 4.365419149 17 7
22206 206 NONWORD NA gafo sgarro ctrl NA 4 6 2.19092323 13 5
12207 207 NONWORD NA canu canguro rel NA 4 7 3.083017833 17 2
12208 208 NONWORD NA arzo arazzo rel NA 4 6 2.543106 12 4
12209 209 NONWORD NA laci lacrima rel NA 4 7 3.286092581 25 5
22210 210 NONWORD NA mafu bacillo ctrl NA 4 7 2.065984493 12 6
22211 211 NONWORD NA caba fallace ctrl NA 4 7 2.168646835 37 4
22212 212 NONWORD NA elgi lettiga ctrl NA 4 7 2.469676831 8 1
22213 213 NONWORD NA nalo castigo ctrl NA 4 7 3 32 3
22214 214 NONWORD NA ince trincea ctrl NA 4 7 3.330802316 22 2
22215 215 NONWORD NA sevi petrolio ctrl NA 4 8 4.00716453 29 2
12216 216 NONWORD NA pazo paparazzo rel NA 4 9 2.792983221 22 1
