Trial.ID	Target.ID	lexicality	morphtype	target	prime	primetype	logfreq.Zipf.t	lent	lenp	logFreq.Zipf.p	Nt	Np
22264	264	NONWORD	NA	mufir	muffin	rel	NA	5	6	4	2	8
22265	265	NONWORD	NA	turp	passel	ctrl	NA	4	6	1,17	17	10
22266	266	NONWORD	NA	syly	pummel	ctrl	NA	4	6	2,04	5	3
22267	267	NONWORD	NA	quir	signal	ctrl	NA	4	6	4,25	15	1
22268	268	NONWORD	NA	sutty	summit	rel	NA	5	6	4,18	12	4
22269	269	NONWORD	NA	quat	swivel	ctrl	NA	4	6	3,02	14	1
22270	270	NONWORD	NA	mip	mosaic	rel	NA	3	6	3,33	53	0
22271	271	NONWORD	NA	abter	abstain	rel	NA	5	7	2,99	9	0
12272	272	NONWORD	NA	cret	asterix	ctrl	NA	4	7	2,7	17	0
12273	273	NONWORD	NA	bist	biscuit	rel	NA	4	7	4,1	28	0
12274	274	NONWORD	NA	boun	bourbon	rel	NA	4	7	3,07	25	1
22275	275	NONWORD	NA	cuti	culprit	rel	NA	4	7	3,22	12	0
22276	276	NONWORD	NA	dety	deficit	rel	NA	4	7	4,63	14	0
22277	277	NONWORD	NA	spoff	griffin	ctrl	NA	5	7	3,7	4	1
22278	278	NONWORD	NA	ilkis	illicit	rel	NA	5	7	3,07	0	1
22279	279	NONWORD	NA	olick	olympic	rel	NA	5	7	4,85	5	1
22280	280	NONWORD	NA	blont	phoenix	ctrl	NA	5	7	3,62	6	0
12281	281	NONWORD	NA	spaxe	plastic	ctrl	NA	5	7	4,43	5	3
12282	282	NONWORD	NA	cous	rebound	ctrl	NA	4	7	3,24	40	3
12283	283	NONWORD	NA	phorb	penguin	ctrl	NA	5	7	3,88	0	0
22284	284	NONWORD	NA	trepy	traffic	rel	NA	5	7	4,54	2	1
22285	285	NONWORD	NA	furm	turmoil	ctrl	NA	4	7	3,68	13	0
12286	286	NONWORD	NA	aith	airtight	rel	NA	4	8	2,73	19	0
12287	287	NONWORD	NA	shuar	fibrosis	ctrl	NA	5	8	2,95	3	0
12288	288	NONWORD	NA	plosy	supplant	ctrl	NA	5	8	1,81	1	0
22289	289	NONWORD	NA	inpock	inherent	rel	NA	6	8	3,14	0	1
12290	290	NONWORD	NA	cherb	vengeful	ctrl	NA	5	8	2,55	5	0
12291	291	NONWORD	NA	skigh	skylight	rel	NA	5	8	2,93	0	0
12292	292	NONWORD	NA	ruar	syphilis	ctrl	NA	4	8	3,17	13	0
12293	293	NONWORD	NA	vigan	vigilant	rel	NA	5	8	3,32	3	1
22294	294	NONWORD	NA	gylpo	highlight	ctrl	NA	5	9	4,05	1	0
12295	295	NONWORD	NA	sovign	sovereign	rel	NA	6	9	3,97	0	0
12296	296	NONWORD	NA	ruffy	tamponade	ctrl	NA	5	9	2,16	10	0
22297	297	NONWORD	NA	censar	centimetres	rel	NA	6	11	3,84	3	0
12298	298	NONWORD	NA	ninpoo	nincompoops	rel	NA	6	11	1,9	0	0
22299	299	NONWORD	NA	leler	prosecution	ctrl	NA	5	11	4,09	5	0
22300	300	NONWORD	NA	sivert	revolutionise	ctrl	NA	6	13	3,19	1	2
