"relatednessrel:morphTypeop:vocabulary","relatednessrel:morphTypetr:vocabulary","car::anova_pValue","nSbj","nDatapoints","converged"
-0.102231738175585,-1.04689593947104,0.219198619404012,40,7034,1
-1.93411692303338,-2.9331041486362,7.91876680797811e-07,40,7137,1
-1.83435983091712,-2.01303131523645,0.000601217309777403,40,7210,1
1.32095679321037,-4.08967289393553,5.26160532286031e-19,40,7247,1
-0.987216311845178,-2.54399219141934,4.58753359097295e-05,40,7108,1
-1.06459289074263,-3.78653216413409,5.07603752728157e-11,40,7104,1
-1.31396103617615,-3.52211013491615,6.04914779395594e-08,40,7189,1
0.818679904182257,-1.08490908879726,0.00671832050943335,40,7153,1
-2.70582951002685,-4.76154242421618,3.66189513796147e-17,40,7239,1
-1.55150470868621,-3.56830085297191,2.5321736190566e-09,40,7191,1
-1.69026455289801,-1.99990222151157,0.000576231222490325,40,7061,1
-1.22829404972014,-0.813142997430494,0.0832898656150417,40,7249,1
-3.43456650347546,-5.1437663422505,3.07733169851204e-19,40,7246,1
-2.31735330390626,-3.19794993542758,9.23304518063811e-07,40,7193,1
-1.29020246050763,-3.73740822340095,4.24111013058164e-10,40,7124,1
-1.06223887835806,-2.82522742058865,5.54294267849537e-06,40,7167,1
-0.755370669872385,-1.44549683878447,0.0864411610807114,40,7256,1
-3.62827616195314,-5.06519610283208,3.20236437281112e-20,40,7150,1
-2.85213794663057,-2.73768797819867,0.647369899036732,40,7208,0
-0.406240293122366,-3.33497121038584,1.3452149901706e-10,40,7192,1
0.95382879608845,-1.03016361061763,0.0574745132646405,40,6965,1
-1.69329625416561,-2.43574254250867,0.782508678631067,40,7082,0
-0.965542976588023,-3.20772770232216,0.618158751426843,40,7098,0
0.96704600895531,-1.39940347416983,0.00115095339660678,40,7214,1
-2.21436787649464,-2.52608285418367,0.730075932588327,40,7184,0
-2.02739517161981,-1.07330900371498,0.0025612463944246,40,6999,1
0.715813282043473,-1.96580488031464,2.85279101632093e-05,40,7140,1
-1.99054946642638,-4.82428697175369,1.40967822823275e-17,40,7365,1
-1.65812146006363,-4.09200995207857,9.09148353759156e-12,40,7119,1
-2.70068648986871,-2.00718164495362,7.96360631448386e-06,40,7135,1
-1.92201724307788,-4.67704177604967,2.07565915648754e-15,40,7109,1
-2.35284665660655,-2.54915219751569,0.000185770397148123,40,7166,1
-2.91460040507042,-3.06658586285213,3.56961331980251e-08,40,7173,1
-0.310856042266206,-1.62969171605602,0.00762083046850978,40,7124,1
-2.59288631610936,-3.06658993030968,1.93149577655455e-08,40,7189,1
-0.720630554257772,-1.47313641584606,0.0404319554142021,40,7173,1
-2.54727431722688,-3.27181348549164,7.79284348008023e-09,40,7308,1
-1.77379230114735,-4.31938216438169,2.44458434525562e-13,40,7275,1
-1.08451169895291,-4.49128379884779,1.69247637819433e-14,40,7150,1
-0.603745426839244,0.140483765311058,0.480072425026752,40,6991,1
-5.51715903265661,-5.12230395785006,1.4549864351378e-27,40,7283,1
-2.74217109799953,-3.36974775100099,2.05491224526481e-09,40,7113,1
-0.50101543759663,-2.38750993039774,0.7440023857709,40,7223,0
-0.580001720324898,-4.16044537559829,4.73015240749321e-14,40,7126,1
-0.0856571029034839,-2.43283139493376,4.58510381202304e-06,40,7147,1
0.930066471325558,-3.2197612076728,3.19289572947435e-11,40,7052,1
-0.995653064764646,-2.77165609236942,0.695916689008128,40,7246,0
-0.401397321665115,-2.96956140773167,1.21943488681377e-06,40,7244,1
-1.69700989721105,-2.44261265014329,3.86178380579032e-05,40,7219,1
-1.87022875151119,-3.33428578982591,0.626913365213121,40,7129,0
-0.347735839281397,-2.33244486310197,7.27539809769291e-05,40,7229,1
0.155403596816813,-1.76840962200885,0.796951670920879,40,7205,0
0.255101195942237,-0.0758465474037911,0.844898072624243,40,7130,1
-2.92689603437249,-3.27148264420261,0.60078712805922,40,7104,0
-2.40539013170949,-7.05995257792702,1.97304227149259e-32,40,7285,1
0.829554460178695,-2.76912390525003,8.45688300372223e-09,40,7154,1
-1.11382121517484,-1.69594817486711,0.0120129146116869,40,7004,1
-0.89580262712502,-3.97471676939609,2.13063871112008e-12,40,7187,1
0.219905808867998,-2.43491709564091,1.96261066840677e-05,40,7177,1
0.591275065268216,-1.34746191291288,0.0156518889597989,40,7015,1
